origen,origen_lat,origen_lon,destino,destino_lat,destino_lon,poblacion_total
Ciudad de MÃ©xico,19.419444,-99.145556,23 MÃ©xico,19.354167,-99.630833,3109758
15 MÃ©xico,19.354167,-99.630833,Ciudad de MÃ©xico,19.419444,-99.145556,387717
21 Puebla,19.003611,-97.888333,34 MÃ©xico,19.354167,-99.630833,323633
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,56 Tamaulipas,24.287222,-98.563333,315004
24 San Luis PotosÃ­,22.603333,-100.429722,41 Nuevo LeÃ³n,25.566667,-99.970556,289887
20 Oaxaca,16.898056,-96.414167,33 MÃ©xico,19.354167,-99.630833,278479
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,43 MÃ©xico,19.354167,-99.630833,277190
43 Hidalgo,20.478333,-98.863611,27 MÃ©xico,19.354167,-99.630833,259911
25 Sinaloa,25.002778,-107.502778,25 Baja California,29.95,-115.116667,258517
31 YucatÃ¡n,20.833333,-89,52 Quintana Roo,19.6,-87.916667,237845
Ciudad de MÃ©xico,19.419444,-99.145556,30 QuerÃ©taro,20.591,-100.391,227049
Ciudad de MÃ©xico,19.419444,-99.145556,21 Hidalgo,20.478333,-98.863611,214070
28 Tamaulipas,24.287222,-98.563333,45 Nuevo LeÃ³n,25.566667,-99.970556,206571
16 MichoacÃ¡n de Ocampo,19.168611,-101.899722,29 MÃ©xico,19.354167,-99.630833,202549
21 Puebla,19.003611,-97.888333,Ciudad de MÃ©xico,19.419444,-99.145556,199115
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,47 Nuevo LeÃ³n,25.566667,-99.970556,197294
42 Guerrero,17.613056,-99.95,28 Morelos,18.7475,-99.070278,167523
20 Oaxaca,16.898056,-96.414167,Ciudad de MÃ©xico,19.419444,-99.145556,166462
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,49 Puebla,19.003611,-97.888333,164951
16 MichoacÃ¡n de Ocampo,19.168611,-101.899722,28 Jalisco,20.566667,-103.676389,162496
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,Ciudad de MÃ©xico,19.419444,-99.145556,161765
15 MÃ©xico,19.354167,-99.630833,26 Hidalgo,20.478333,-98.863611,156134
42 Guerrero,17.613056,-99.95,26 MÃ©xico,19.354167,-99.630833,150451
55 Sinaloa,25.002778,-107.502778,50 Sonora,29.646111,-110.868889,144836
27 Tabasco,17.972222,-92.588889,48 Quintana Roo,19.6,-87.916667,143685
05 Coahuila de Zaragoza,27.302222,-102.044722,23 Nuevo LeÃ³n,25.566667,-99.970556,140151
10 Durango,24.934722,-104.911944,16 Chihuahua,28.814167,-106.439444,139094
14 Jalisco,20.566667,-103.676389,14 Baja California,29.95,-115.116667,133144
54 San Luis PotosÃ­,22.603333,-100.429722,51 Tamaulipas,24.287222,-98.563333,132045
26 Sonora,29.646111,-110.868889,26 Baja California,29.95,-115.116667,131959
Ciudad de MÃ©xico,19.419444,-99.145556,22 Jalisco,20.566667,-103.676389,131366
41 Guanajuato,21.018889,-101.262778,25 MÃ©xico,19.354167,-99.630833,128556
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,51 Quintana Roo,19.6,-87.916667,127919
50 Oaxaca,16.898056,-96.414167,49 Veracruz de Ignacio de la Llave,19.434722,-96.383056,124989
Ciudad de MÃ©xico,19.419444,-99.145556,25 Morelos,18.7475,-99.070278,123686
Ciudad de MÃ©xico,19.419444,-99.145556,29 Puebla,19.003611,-97.888333,122097
16 MichoacÃ¡n de Ocampo,19.168611,-101.899722,Ciudad de MÃ©xico,19.419444,-99.145556,120952
Ciudad de MÃ©xico,19.419444,-99.145556,19 Guanajuato,21.018889,-101.262778,120520
51 Puebla,19.003611,-97.888333,50 Veracruz de Ignacio de la Llave,19.434722,-96.383056,119054
07 Chiapas,16.41,-92.408611,29 Quintana Roo,19.6,-87.916667,116657
13 Hidalgo,20.478333,-98.863611,Ciudad de MÃ©xico,19.419444,-99.145556,116438
44 Jalisco,20.566667,-103.676389,31 Nayarit,21.743889,-105.228333,115845
16 Michoacán de Ocampo,19.168611,-101.899722,16 Baja California,29.95,-115.116667,114029
54 Tamaulipas,24.287222,-98.563333,57 Veracruz de Ignacio de la Llave,19.434722,-96.383056,111940
12 Guerrero,17.613056,-99.95,Ciudad de MÃ©xico,19.419444,-99.145556,100959
Ciudad de MÃ©xico,19.419444,-99.145556,31 Quintana Roo,19.6,-87.916667,100388
32 Zacatecas,23.292778,-102.700556,44 Jalisco,20.566667,-103.676389,94588
51 Puebla,19.003611,-97.888333,49 Tlaxcala,19.428889,-98.160833,92872
07 Chiapas,16.41,-92.408611,7 Baja California,29.95,-115.116667,92176
45 MÃ©xico,19.354167,-99.630833,36 QuerÃ©taro,20.591,-100.391,92166
Ciudad de MÃ©xico,19.419444,-99.145556,38 Veracruz de Ignacio de la Llave,19.434722,-96.383056,88987
12 Guerrero,17.613056,-99.95,12 Baja California,29.95,-115.116667,87775
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,48 Oaxaca,16.898056,-96.414167,86654
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,36 Chihuahua,28.814167,-106.439444,85504
09 Ciudad de México,19.419444,-99.145556,9 Baja California,29.95,-115.116667,83351
41 Guanajuato,21.018889,-101.262778,32 QuerÃ©taro,20.591,-100.391,81051
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,30 Baja California,29.95,-115.116667,79948
Ciudad de MÃ©xico,19.419444,-99.145556,24 MichoacÃ¡n de Ocampo,19.168611,-101.899722,78284
14 Jalisco,20.566667,-103.676389,18 Colima,19.096667,-103.960833,78084
05 Coahuila de Zaragoza,27.302222,-102.044722,14 Durango,24.934722,-104.911944,77828
35 Coahuila de Zaragoza,27.302222,-102.044722,12 Chihuahua,28.814167,-106.439444,77670
11 Guanajuato,21.018889,-101.262778,Ciudad de MÃ©xico,19.419444,-99.145556,77314
10 Durango,24.934722,-104.911944,13 Coahuila de Zaragoza,27.302222,-102.044722,77230
18 Nayarit,21.743889,-105.228333,30 Jalisco,20.566667,-103.676389,76792
20 Oaxaca,16.898056,-96.414167,20 Baja California,29.95,-115.116667,75519
50 Oaxaca,16.898056,-96.414167,40 Puebla,19.003611,-97.888333,73863
18 Nayarit,21.743889,-105.228333,18 Baja California,29.95,-115.116667,72374
32 Zacatecas,23.292778,-102.700556,49 Nuevo LeÃ³n,25.566667,-99.970556,72180
45 MÃ©xico,19.354167,-99.630833,35 Puebla,19.003611,-97.888333,70627
42 Guerrero,17.613056,-99.95,27 MichoacÃ¡n de Ocampo,19.168611,-101.899722,69592
16 MichoacÃ¡n de Ocampo,19.168611,-101.899722,25 Guanajuato,21.018889,-101.262778,69285
12 Guerrero,17.613056,-99.95,13 Baja California Sur,25.846111,-111.972778,68144
49 Nuevo LeÃ³n,25.566667,-99.970556,46 Tamaulipas,24.287222,-98.563333,67766
07 Chiapas,16.41,-92.408611,33 Tabasco,17.972222,-92.588889,66548
Ciudad de MÃ©xico,19.419444,-99.145556,27 Nuevo LeÃ³n,25.566667,-99.970556,65309
32 Zacatecas,23.292778,-102.700556,31 Aguascalientes,21.880833,-102.296111,64522
45 MÃ©xico,19.354167,-99.630833,31 Morelos,18.7475,-99.070278,62088
15 MÃ©xico,19.354167,-99.630833,24 Guanajuato,21.018889,-101.262778,61224
44 Jalisco,20.566667,-103.676389,29 MichoacÃ¡n de Ocampo,19.168611,-101.899722,60983
41 Guanajuato,21.018889,-101.262778,24 Jalisco,20.566667,-103.676389,60940
27 Tabasco,17.972222,-92.588889,29 Campeche,18.836389,-90.403333,58856
14 Jalisco,20.566667,-103.676389,23 Guanajuato,21.018889,-101.262778,58475
41 Guanajuato,21.018889,-101.262778,26 MichoacÃ¡n de Ocampo,19.168611,-101.899722,57781
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,55 Tabasco,17.972222,-92.588889,57612
29 Tlaxcala,19.428889,-98.160833,48 Puebla,19.003611,-97.888333,57196
19 Nuevo León,25.566667,-99.970556,22 Coahuila de Zaragoza,27.302222,-102.044722,57165
45 MÃ©xico,19.354167,-99.630833,30 MichoacÃ¡n de Ocampo,19.168611,-101.899722,57157
Ciudad de MÃ©xico,19.419444,-99.145556,8 Aguascalientes,21.880833,-102.296111,56811
29 Tlaxcala,19.428889,-98.160833,42 MÃ©xico,19.354167,-99.630833,55651
22 QuerÃ©taro,20.591,-100.391,31 Guanajuato,21.018889,-101.262778,55106
44 Jalisco,20.566667,-103.676389,28 MÃ©xico,19.354167,-99.630833,54789
07 Chiapas,16.41,-92.408611,21 MÃ©xico,19.354167,-99.630833,54062
45 MÃ©xico,19.354167,-99.630833,44 Veracruz de Ignacio de la Llave,19.434722,-96.383056,53954
11 Guanajuato,21.018889,-101.262778,11 Baja California,29.95,-115.116667,52438
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,42 Jalisco,20.566667,-103.676389,51241
15 MÃ©xico,19.354167,-99.630833,27 Jalisco,20.566667,-103.676389,51053
06 Colima,19.096667,-103.960833,19 Jalisco,20.566667,-103.676389,51038
Ciudad de MÃ©xico,19.419444,-99.145556,39 YucatÃ¡n,20.833333,-89,50589
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,41 Hidalgo,20.478333,-98.863611,50045
17 Morelos,18.7475,-99.070278,30 MÃ©xico,19.354167,-99.630833,50011
14 Jalisco,20.566667,-103.676389,13 Aguascalientes,21.880833,-102.296111,48836
42 Guerrero,17.613056,-99.95,25 Jalisco,20.566667,-103.676389,48197
25 Sinaloa,25.002778,-107.502778,37 Jalisco,20.566667,-103.676389,48082
04 Campeche,18.836389,-90.403333,26 Quintana Roo,19.6,-87.916667,47331
Ciudad de MÃ©xico,19.419444,-99.145556,28 Oaxaca,16.898056,-96.414167,46830
25 Sinaloa,25.002778,-107.502778,26 Baja California Sur,25.846111,-111.972778,46685
22 QuerÃ©taro,20.591,-100.391,35 MÃ©xico,19.354167,-99.630833,46578
32 Zacatecas,23.292778,-102.700556,35 Coahuila de Zaragoza,27.302222,-102.044722,46153
57 Tabasco,17.972222,-92.588889,56 Veracruz de Ignacio de la Llave,19.434722,-96.383056,44682
14 Jalisco,20.566667,-103.676389,Ciudad de MÃ©xico,19.419444,-99.145556,44653
21 Puebla,19.003611,-97.888333,32 Hidalgo,20.478333,-98.863611,43964
10 Durango,24.934722,-104.911944,10 Baja California,29.95,-115.116667,43827
28 Tamaulipas,24.287222,-98.563333,50 San Luis PotosÃ­,22.603333,-100.429722,43758
04 Campeche,18.836389,-90.403333,34 YucatÃ¡n,20.833333,-89,42984
32 Zacatecas,23.292778,-102.700556,38 Chihuahua,28.814167,-106.439444,42210
21 Puebla,19.003611,-97.888333,36 Morelos,18.7475,-99.070278,42095
24 San Luis PotosÃ­,22.603333,-100.429722,37 MÃ©xico,19.354167,-99.630833,41872
01 Aguascalientes,21.880833,-102.296111,14 Jalisco,20.566667,-103.676389,41814
40 Durango,24.934722,-104.911944,34 Sinaloa,25.002778,-107.502778,41740
27 Tabasco,17.972222,-92.588889,32 Chiapas,16.41,-92.408611,40886
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,50 QuerÃ©taro,20.591,-100.391,40406
43 Hidalgo,20.478333,-98.863611,31 Nuevo LeÃ³n,25.566667,-99.970556,39917
Ciudad de MÃ©xico,19.419444,-99.145556,32 San Luis PotosÃ­,22.603333,-100.429722,39289
21 Puebla,19.003611,-97.888333,21 Baja California,29.95,-115.116667,39281
43 Hidalgo,20.478333,-98.863611,42 Veracruz de Ignacio de la Llave,19.434722,-96.383056,38970
15 México,19.354167,-99.630833,15 Baja California,29.95,-115.116667,38791
26 Sonora,29.646111,-110.868889,49 Sinaloa,25.002778,-107.502778,38389
29 Tlaxcala,19.428889,-98.160833,Ciudad de MÃ©xico,19.419444,-99.145556,37907
46 MichoacÃ¡n de Ocampo,19.168611,-101.899722,37 QuerÃ©taro,20.591,-100.391,37846
07 Chiapas,16.41,-92.408611,Ciudad de MÃ©xico,19.419444,-99.145556,37747
07 Chiapas,16.41,-92.408611,36 Veracruz de Ignacio de la Llave,19.434722,-96.383056,37665
02 Baja California,29.95,-115.116667,27 Sonora,29.646111,-110.868889,37286
40 Durango,24.934722,-104.911944,28 Nuevo LeÃ³n,25.566667,-99.970556,37257
Ciudad de MÃ©xico,19.419444,-99.145556,37 Tlaxcala,19.428889,-98.160833,37036
08 Chihuahua,28.814167,-106.439444,33 Sonora,29.646111,-110.868889,36815
57 Tabasco,17.972222,-92.588889,57 YucatÃ¡n,20.833333,-89,36671
53 Quintana Roo,19.6,-87.916667,53 YucatÃ¡n,20.833333,-89,36142
01 Aguascalientes,21.880833,-102.296111,32 Zacatecas,23.292778,-102.700556,36033
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,33 Coahuila de Zaragoza,27.302222,-102.044722,35841
43 Hidalgo,20.478333,-98.863611,34 QuerÃ©taro,20.591,-100.391,35707
16 Michoacán de Ocampo,19.168611,-101.899722,20 Colima,19.096667,-103.960833,35690
Ciudad de MÃ©xico,19.419444,-99.145556,20 Guerrero,17.613056,-99.95,35690
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,32 Campeche,18.836389,-90.403333,35686
32 Zacatecas,23.292778,-102.700556,54 San Luis PotosÃ­,22.603333,-100.429722,35262
17 Morelos,18.7475,-99.070278,Ciudad de MÃ©xico,19.419444,-99.145556,34857
44 Jalisco,20.566667,-103.676389,45 Zacatecas,23.292778,-102.700556,34740
45 MÃ©xico,19.354167,-99.630833,34 Oaxaca,16.898056,-96.414167,33785
45 MÃ©xico,19.354167,-99.630833,33 Nuevo LeÃ³n,25.566667,-99.970556,32019
08 Chihuahua,28.814167,-106.439444,17 Durango,24.934722,-104.911944,31849
42 Guerrero,17.613056,-99.95,34 Quintana Roo,19.6,-87.916667,31213
15 MÃ©xico,19.354167,-99.630833,25 Guerrero,17.613056,-99.95,30995
Ciudad de MÃ©xico,19.419444,-99.145556,36 Tamaulipas,24.287222,-98.563333,30343
43 Hidalgo,20.478333,-98.863611,33 Puebla,19.003611,-97.888333,30281
05 Coahuila de Zaragoza,27.302222,-102.044722,32 Tamaulipas,24.287222,-98.563333,30208
07 Chiapas,16.41,-92.408611,25 Nuevo LeÃ³n,25.566667,-99.970556,29985
45 MÃ©xico,19.354167,-99.630833,37 Quintana Roo,19.6,-87.916667,29880
42 Guerrero,17.613056,-99.95,36 Sinaloa,25.002778,-107.502778,28934
49 Nuevo LeÃ³n,25.566667,-99.970556,42 San Luis PotosÃ­,22.603333,-100.429722,28770
02 Baja California,29.95,-115.116667,26 Sinaloa,25.002778,-107.502778,28650
07 Chiapas,16.41,-92.408611,26 Oaxaca,16.898056,-96.414167,27956
60 Veracruz de Ignacio de la Llave,19.434722,-96.383056,60 YucatÃ¡n,20.833333,-89,27832
16 MichoacÃ¡n de Ocampo,19.168611,-101.899722,26 Guerrero,17.613056,-99.95,27028
48 Nayarit,21.743889,-105.228333,42 Sinaloa,25.002778,-107.502778,26821
09 Ciudad de México,19.419444,-99.145556,15 Chihuahua,28.814167,-106.439444,26638
42 Guerrero,17.613056,-99.95,32 Puebla,19.003611,-97.888333,26552
20 Oaxaca,16.898056,-96.414167,37 Nuevo LeÃ³n,25.566667,-99.970556,26487
32 Zacatecas,23.292778,-102.700556,32 Baja California,29.95,-115.116667,26354
08 Chihuahua,28.814167,-106.439444,11 Coahuila de Zaragoza,27.302222,-102.044722,26312
07 Chiapas,16.41,-92.408611,9 Campeche,18.836389,-90.403333,26132
20 Oaxaca,16.898056,-96.414167,26 Chihuahua,28.814167,-106.439444,25765
02 Baja California,29.95,-115.116667,15 Jalisco,20.566667,-103.676389,25532
09 Ciudad de México,19.419444,-99.145556,10 Baja California Sur,25.846111,-111.972778,24755
21 Puebla,19.003611,-97.888333,39 Oaxaca,16.898056,-96.414167,24554
24 San Luis PotosÃ­,22.603333,-100.429722,35 Hidalgo,20.478333,-98.863611,24509
22 QuerÃ©taro,20.591,-100.391,Ciudad de MÃ©xico,19.419444,-99.145556,24319
07 Chiapas,16.41,-92.408611,20 Jalisco,20.566667,-103.676389,24244
32 Zacatecas,23.292778,-102.700556,45 MÃ©xico,19.354167,-99.630833,24206
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,35 Chiapas,16.41,-92.408611,24201
41 Guanajuato,21.018889,-101.262778,38 Tamaulipas,24.287222,-98.563333,24096
24 San Luis PotosÃ­,22.603333,-100.429722,Ciudad de MÃ©xico,19.419444,-99.145556,24014
24 San Luis PotosÃ­,22.603333,-100.429722,33 Guanajuato,21.018889,-101.262778,23998
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,39 Guanajuato,21.018889,-101.262778,23910
20 Oaxaca,16.898056,-96.414167,32 Jalisco,20.566667,-103.676389,23650
44 Jalisco,20.566667,-103.676389,39 Sonora,29.646111,-110.868889,23267
24 San Luis PotosÃ­,22.603333,-100.429722,36 Jalisco,20.566667,-103.676389,23153
20 Oaxaca,16.898056,-96.414167,30 Guerrero,17.613056,-99.95,22925
45 MÃ©xico,19.354167,-99.630833,43 Tlaxcala,19.428889,-98.160833,22820
20 Oaxaca,16.898056,-96.414167,25 Chiapas,16.41,-92.408611,22523
31 Yucatán,20.833333,-89,33 Campeche,18.836389,-90.403333,22448
09 Ciudad de México,19.419444,-99.145556,14 Chiapas,16.41,-92.408611,22227
44 Jalisco,20.566667,-103.676389,32 Nuevo LeÃ³n,25.566667,-99.970556,22093
32 Zacatecas,23.292778,-102.700556,40 Durango,24.934722,-104.911944,22003
25 Sinaloa,25.002778,-107.502778,31 Chihuahua,28.814167,-106.439444,21975
09 Ciudad de México,19.419444,-99.145556,12 Coahuila de Zaragoza,27.302222,-102.044722,21894
17 Morelos,18.7475,-99.070278,27 Guerrero,17.613056,-99.95,21817
42 Guerrero,17.613056,-99.95,33 QuerÃ©taro,20.591,-100.391,21796
25 Sinaloa,25.002778,-107.502778,33 Durango,24.934722,-104.911944,21793
47 Morelos,18.7475,-99.070278,37 Puebla,19.003611,-97.888333,21658
08 Chihuahua,28.814167,-106.439444,32 Sinaloa,25.002778,-107.502778,21609
41 Guanajuato,21.018889,-101.262778,29 Nuevo LeÃ³n,25.566667,-99.970556,21460
30 Veracruz de Ignacio de la Llave,19.434722,-96.383056,52 San Luis PotosÃ­,22.603333,-100.429722,21276
42 Guerrero,17.613056,-99.95,31 Oaxaca,16.898056,-96.414167,21230
41 Guanajuato,21.018889,-101.262778,34 San Luis PotosÃ­,22.603333,-100.429722,20942
28 Tamaulipas,24.287222,-98.563333,31 Coahuila de Zaragoza,27.302222,-102.044722,20699
27 Tabasco,17.972222,-92.588889,44 Nuevo LeÃ³n,25.566667,-99.970556,20699
21 Puebla,19.003611,-97.888333,33 Jalisco,20.566667,-103.676389,20645
43 Hidalgo,20.478333,-98.863611,26 Jalisco,20.566667,-103.676389,20475
40 Durango,24.934722,-104.911944,41 Zacatecas,23.292778,-102.700556,20369
